player_display_name,position,team,games_played,ppr_per_game,ppr_std_dev,target_share_pct,yards_per_carry,yards_per_reception,ppr_change_24_to_25,career_avg_ppr,career_games_played,composite_score,position_rank,tier,vorp
David Montgomery,RB,DET,17,9.818823529411766,6.721701684053805,5.2727272727272725,4.531645569620253,8.0,-6.01831932773109,13.485322128851541,45,5.996817225876298,43,5,-2.5390172126756037
Bam Knight,RB,ARI,12,7.741666666666667,5.895986051132713,5.024311183144246,3.2804878048780486,7.2727272727272725,,4.645833333333334,14,5.972870851326853,44,5,-2.562963587225049
Jordan Mason,RB,MIN,16,8.05625,5.49969317325976,3.4334763948497855,4.767295597484277,3.642857142857143,-1.5270833333333336,6.811111111111111,44,5.948217048022072,45,5,-2.5876173905298296
Tyler Allgeier,RB,ATL,17,7.235294117647059,5.349876304232485,3.088803088803089,3.5944055944055946,6.857142857142857,0.9882352941176471,7.192156862745098,51,5.926801814612608,46,5,-2.609032623939294
Kareem Hunt,RB,KC,17,8.552941176470588,6.050425361809162,4.553734061930783,3.7484662576687118,7.944444444444445,-3.400904977375566,9.46892911010558,45,5.717542074715169,47,5,-2.8182923638367328
Miles Sanders,RB,DAL,4,6.675000000000001,2.882562517390849,1.3179571663920924,5.85,3.75,-0.3522727272727275,6.3924242424242435,31,5.704549426600928,48,5,-2.831285011950974
Jawhar Jordan,RB,HOU,4,7.425,6.505574532660433,1.2658227848101267,4.488372093023256,4.857142857142857,,7.425,4,5.47332764020187,49,5,-3.0625067983500323
Rachaad White,RB,TB,17,8.411764705882353,5.498054468734961,8.333333333333332,4.333333333333333,5.45,-4.894901960784313,12.492418300653595,49,5.29387777702657,50,5,-3.2419566615253315
Blake Corum,RB,LA,17,7.188235294117647,6.492965650700493,2.4096385542168677,5.144827586206897,4.5,,4.71078431372549,32,5.240345598907499,51,5,-3.2954888396444026
Isiah Pacheco,RB,KC,13,6.715384615384616,3.8948355022701007,4.735883424408015,3.9152542372881354,5.315789473684211,-1.4131868131868135,10.040842490842492,34,5.122977920747543,52,5,-3.412856517804359
Devin Neal,RB,NO,9,6.666666666666667,5.269013190342192,3.3628318584070795,3.6140350877192984,6.117647058823529,,6.666666666666667,9,5.08596270956401,53,5,-3.449871728987892
Michael Carter,RB,ARI,13,7.615384615384615,4.885496589199191,7.293354943273905,3.619565217391304,8.090909090909092,-4.317948717948717,6.981623931623932,31,4.854351023240243,54,5,-3.681483415311659
Raheim Sanders,RB,CLE,4,5.075,1.0531698185319718,0.7677543186180422,3.4074074074074074,7.0,,5.075,4,4.759049054440409,55,5,-3.776785384111493
Alvin Kamara,RB,NO,11,9.154545454545454,4.897828832526436,6.902654867256637,3.595419847328244,5.636363636363637,-9.795454545454545,15.342540792540794,38,4.74656044115116,56,5,-3.789273997400742
Devin Singletary,RB,NYG,17,6.3999999999999995,6.327420485474314,3.7773359840954273,3.672268907563025,8.38888888888889,-0.040000000000000924,7.561176470588236,49,4.489773854357705,57,5,-4.046060584194197
Ty Johnson,RB,BUF,17,5.9,5.2852388782343604,6.8893528183716075,4.0,10.958333333333334,0.5058823529411764,4.964705882352941,43,4.466193042412045,58,5,-4.069641396139857
Bhayshul Tuten,RB,JAX,15,5.906666666666666,4.918110361084786,2.788844621513944,3.6987951807228914,7.9,,5.906666666666666,15,4.431233558341231,59,5,-4.104600880210671
Austin Ekeler,RB,WAS,2,6.55,3.0405591591021537,1.6203703703703702,3.0714285714285716,7.6,-4.4750000000000005,10.272619047619047,28,4.295332252269353,60,5,-4.240502186282549
Chuba Hubbard,RB,CAR,15,8.360000000000001,6.147566301274953,8.125,3.8134328358208953,7.433333333333334,-7.746666666666668,11.733986928104576,47,4.191730109617515,61,5,-4.344104328934387
Dylan Sampson,RB,CLE,15,5.840000000000001,5.598060888761905,7.677543186180421,2.6923076923076925,8.212121212121213,,5.840000000000001,15,4.160581733371429,62,5,-4.375252705180473
Nick Chubb,RB,HOU,15,5.886666666666667,4.376539185029107,3.616636528028933,4.147540983606557,5.153846153846154,-2.025833333333333,8.449722222222222,25,3.9659549111579344,63,5,-4.569879527393967
Samaje Perine,RB,CIN,15,5.193333333333333,4.744239614923505,3.459637561779242,4.5476190476190474,5.117647058823529,,5.7056209150326795,49,3.770061448856282,64,5,-4.76577298969562
Jaylen Wright,RB,MIA,9,5.355555555555556,5.521121061684646,1.9955654101995564,4.114285714285714,8.8,,3.704700854700855,22,3.6992192370501624,65,5,-4.83661520150174
Kendre Miller,RB,NO,7,4.757142857142857,3.9135904839661593,0.8849557522123894,4.1063829787234045,6.0,,5.264285714285714,20,3.5830657119530094,66,5,-4.952768726598892
Emari Demercado,RB,ARI,12,4.858333333333333,4.298933976386859,3.2414910858995136,7.090909090909091,7.769230769230769,,5.243220668220668,36,3.5686531404172754,67,5,-4.967181298134626
Emanuel Wilson,RB,GB,17,5.5588235294117645,6.939655865344603,3.803131991051454,3.968,6.6,-0.08823529411764763,4.721960784313725,39,3.450456181573089,68,5,-5.085378256978813
Jeremy McNichols,RB,WAS,16,4.54375,3.7787067893659074,7.175925925925926,5.0227272727272725,7.84,,2.932361111111111,33,3.4101379631902278,69,5,-5.125696475361674
Justice Hill,RB,BAL,10,6.5200000000000005,8.560088265380863,6.6339066339066335,5.166666666666667,8.047619047619047,-1.953333333333334,7.274861111111112,41,3.3659735203857415,70,5,-5.16986091816616
Antonio Gibson,RB,NE,5,4.640000000000001,4.409421730794187,0.625,4.24,3.0,,6.228284313725491,38,3.3171734807617446,71,5,-5.218660957790157
Keaton Mitchell,RB,BAL,13,4.2615384615384615,3.268674160761633,2.9484029484029484,5.779661016949152,7.0,,5.3157509157509155,24,3.2809362133099715,72,5,-5.254898225241931
Najee Harris,RB,LAC,3,3.866666666666667,2.571640202931455,0.5565862708719851,4.066666666666666,8.333333333333334,,9.133986928104575,37,3.0951746057872307,73,5,-5.440659832764672
Jaleel McLaughlin,RB,DEN,8,3.925,2.833851493235714,1.0434782608695654,5.054054054054054,6.75,,5.411764705882352,41,3.0748445520292855,74,5,-5.460989886522617
